entrez_id,symbol,betweenness
7157,TP53,319991.29086584685
7124,TNF,300957.5649641304
5743,PTGS2,252155.21178158486
3569,IL6,246636.89635855498
4318,MMP9,232435.9168707807
7422,VEGFA,229481.4331582473
4524,MTHFR,181924.5271443515
7040,TGFB1,173527.1198164197
596,BCL2,170044.48308570185
213,ALB,169502.50038392044
3586,IL10,162188.93641404816
5728,PTEN,155419.39049234707
3553,IL1B,152356.7552216968
1636,ACE,145927.68115320627
6648,SOD2,145574.0276850306
207,AKT1,126094.53969390583
4609,MYC,114000.1918661915
5443,POMC,112633.54356004126
3558,IL2,112223.74169724903
2944,GSTM1,102552.54537171015